Category,Functional_Group,Subclassification,Code,Additive,Reference(s)_of_Community_legal_act,Reference_in_OJ,Date_of_authorisation,Expiry_date_of_authorisation(s),Date_of_first_entry_in_the_Register
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 401,"Sodium alginate [Fish; Pets and other non food producing animals (non-food fur animals)]","Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1","-","Transitional measures in article 2 of COMMISSION IMPLEMENTING REGULATION (EU) 2018/1533 of 12 October 2018",07.11.05
1,d,Stabilisers,1d401,"Sodium alginate [Cats and dogs; Other non-food-producing animals; Fish]","Commission Implementing Regulation (EU) 2018/1533 of 12 October 2018","OJ L 257, 15.10.2018, p.13",04.11.2028,04.11.2028,16.10.18
1,e,Thickeners,1d401,"Sodium alginate [Cats and dogs; Other non-food-producing animals; Fish]","Commission Implementing Regulation (EU) 2018/1533 of 12 October 2018","OJ L 257, 15.10.2018, p.13",04.11.2028,04.11.2028,16.10.18
1,f,Gelling agents,1d401,"Sodium alginate [Cats and dogs; Othernon-food-producing animals; Fish]","Commission Implementing Regulation (EU) 2018/1533 of 12 October 2018","OJ L 257, 15.10.2018, p.13",04.11.2028,04.11.2028,16.10.18
1,g,Binders,1d401,"Sodium alginate [Cats and dogs; Other non-food-producing animals; Fish]","Commission Implementing Regulation (EU) 2018/1533 of 12 October 2018","OJ L 257, 15.10.2018, p.13",04.11.2028,04.11.2028,16.10.18
1,d,Stabilisers,1d402,Potassium alginate [Cats and dogs],"Commission Implementing Regulation (EU) 2018/1533 of 12 October 2018","OJ L 257, 15.10.2018, p.13",04.11.2028,04.11.2028,16.10.18
1,e,Thickeners,1d402,Potassium alginate [Cats and dogs],"Commission Implementing Regulation (EU) 2018/1533 of 12 October 2018","OJ L 257, 15.10.2018, p.13",04.11.2028,04.11.2028,16.10.18
1,f,Gelling agents,1d402,Potassium alginate [Cats and dogs],"Commission Implementing Regulation (EU) 2018/1533 of 12 October 2018","OJ L 257, 15.10.2018, p.13",04.11.2028,04.11.2028,16.10.18
1,g,Binders,1d402,Potassium alginate [Cats and dogs],"Commission Implementing Regulation (EU) 2018/1533 of 12 October 2018","OJ L 257, 15.10.2018, p.13",04.11.2028,04.11.2028,16.10.18
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 406,"Agar [Pets and other non food producing animals (non-food fur animals)]","Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
